"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",9.7478258465905,0.230135423087979,0.995868983864722,0.231090059853938,0.817244837231057,0.999752511462153
"A1CF",2.37244717743919,1.27250555049075,1.4940463874666,0.851717564572071,0.394370869445034,0.999752511462153
"A2M",50.9555254783312,-1.3157654193719,0.59948921003208,-2.19481084455464,0.0281771692534217,0.999752511462153
"A2ML1",5.60360540161045,0.779066060817219,1.11566364714223,0.698298329261504,0.484990643878927,0.999752511462153
"A4GALT",6.27928050382895,-0.902494381326461,0.869542773051939,-1.03789532763163,0.299318789047571,0.999752511462153
"AAAS",5.14266971736433,-0.41109155949534,0.74038549385332,-0.555239889095912,0.57873058829227,0.999752511462153
"AACS",23.1299470794601,-0.0995043313092986,0.679022895391136,-0.146540465696641,0.88349474768157,0.999752511462153
"AADACL2",10.8051460967001,0.605817429477735,1.12596063701762,0.538044945409805,0.590546019562702,0.999752511462153
"AADACP1",6.3675202559098,-0.666704315293296,0.846207751729797,-0.787873089002595,0.430770943626479,0.999752511462153
"AADAT",4.32420278721415,1.46103859147776,0.825966093588329,1.76888446489421,0.0769131572174982,0.999752511462153
"AAGAB",26.166820994784,-0.181265077589992,0.556487745109929,-0.325730582897535,0.744628203267002,0.999752511462153
"AAK1",80.4201306189729,-0.0484692443599302,0.463552531289764,-0.104560413520064,0.916724627894016,0.999752511462153
"AAMDC",4.42762341662673,-0.33334593747745,0.89677756203617,-0.371715296623362,0.710104834758293,0.999752511462153
"AAMP",6.68170187262836,-1.25180788512239,0.804675278452374,-1.55566837784552,0.119786969777488,0.999752511462153
"AAR2",9.25064171010598,0.487375766674433,0.698103731508127,0.698142331400443,0.485088187056609,0.999752511462153
"AARD",1.98495013400245,-0.167630856690851,1.54330464470228,-0.10861812492192,0.913505384202668,0.999752511462153
"AARS1",17.9046455673646,-0.0964593359900713,0.611160223455689,-0.157829865701436,0.87459086417706,0.999752511462153
"AARS2",7.20061385248064,-1.33264102634944,0.896194674503323,-1.48699949270285,0.137014944931078,0.999752511462153
"AARSD1",3.85708314856563,-0.136004465316364,0.955477809520445,-0.142341835635748,0.886810002872213,0.999752511462153
"AASDH",4.55279145343599,0.405020034334439,0.776404977658638,0.521660790423878,0.601906529260658,0.999752511462153
"AASDHPPT",16.7988294127261,0.123616071612659,0.604608563300138,0.204456369155482,0.837996884149721,0.999752511462153
"AASS",7.97176618146067,0.154122484538049,0.831671813922205,0.185316469739668,0.852980820777029,0.999752511462153
"AATF",19.5453970182698,-0.86296194769954,0.611285373382428,-1.41171699058413,0.158033308515644,0.999752511462153
"AATK",3.83872801885604,-1.08506814876533,1.41808020782645,-0.765166979115001,0.444172119880418,0.999752511462153
"ABAT",31.4809625498554,-0.347609220101679,0.664152111798224,-0.523387961773561,0.600704299811302,0.999752511462153
"ABCA1",82.5550980732395,0.595277108757257,0.653244865516472,0.911261825665657,0.362157435194402,0.999752511462153
"ABCA10",5.24138816712734,0.384693440135966,1.03410745817673,0.372005285421916,0.709888914124746,0.999752511462153
"ABCA11P",2.2419776483369,1.41582574276328,1.17568066937189,1.20426045919399,0.228488924429078,0.999752511462153
"ABCA12",9.05014495859338,0.0605757689649104,0.939736187248333,0.0644603983403937,0.948603639047743,0.999752511462153
"ABCA13",413.631312975704,0.74664262031832,0.515182069267618,1.44927912840551,0.147259647369066,0.999752511462153
"ABCA2",13.2960345770102,0.631715956642923,0.846855760224471,0.745954607990714,0.455694835887471,0.999752511462153
"ABCA3",2.12647070369602,0.0594722992754719,1.18841043611999,0.05004356867619,0.960087669013337,0.999752511462153
"ABCA4",2.38892541389828,0.190884060768857,1.45664438024913,0.131043694231127,0.895740742413284,0.999752511462153
"ABCA5",28.7785466510195,0.550311097957406,0.690739930398782,0.796697966541035,0.425626465213869,0.999752511462153
"ABCA6",13.4429092283599,0.0732008622133395,0.957466527509921,0.0764526592942238,0.939058976097969,0.999752511462153
"ABCA7",14.9487089954681,0.319109415900701,0.83943014113432,0.380150056882028,0.703834029940026,0.999752511462153
"ABCA8",3.40847358688835,-1.50737616555374,1.31718611010992,-1.14439117903236,0.252461444772957,0.999752511462153
"ABCA9",21.931681762299,0.245241891018473,0.839322126528471,0.292190427568996,0.770141030142131,0.999752511462153
"ABCB1",3.06695024034661,-1.10085710379397,1.28548688546191,-0.856373655961802,0.391791131584509,0.999752511462153
"ABCB10",10.1818433521895,0.406194769004275,0.821475961197571,0.494469452778768,0.620974674657192,0.999752511462153
