"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",9.39454861931311,2.46054494440244,0.916880071538942,2.68360609067719,0.00728328630397169,0.427995361771389
"A1CF",2.39044238198099,2.03952452941492,1.33748800449487,1.52489182898145,0.127286080255177,NA
"A2M",48.8675415018102,-0.0894312040237803,0.5615867897678,-0.159247342802984,0.873474005576385,0.995363534185257
"A2ML1",5.65949341468932,2.82697630719378,1.01734794431869,2.77877035382125,0.00545650857440564,0.414599816301721
"A4GALT",6.06214528521646,0.729289614871468,0.807600309644618,0.903032856924473,0.366508456934502,0.967687846775132
"AAAS",5.03250671789537,0.178940391456954,0.689771137394726,0.259419946350342,0.795311241404557,0.990558356567863
"AACS",22.54729017168,-0.739473684652405,0.617578548243945,-1.19737592368625,0.231160063557403,0.938629309499412
"AACSP1",1.0653697492046,0.366831705642279,1.73844602343566,0.211011271386682,0.832878476082951,NA
"AADACL2",10.2089819105655,0.563916582070553,1.01772412332662,0.554095721173719,0.579513338299048,0.988628905025236
"AADACP1",6.27436218076593,-0.0631008662775363,0.795416906486862,-0.0793305570486746,0.936769701874664,0.996105117080151
"AADAT",4.26480939147382,1.04459907545743,0.743343599611574,1.40527082765397,0.159940759645782,0.908697435767744
"AAGAB",25.570767650492,-0.682710439997205,0.523217204984605,-1.30483178590676,0.191950133053069,0.923324678791818
"AAK1",78.8951486166873,0.192874516658789,0.420257959108323,0.458943162118853,0.64627498248834,0.990124243174288
"AAMDC",4.3026324648923,0.173582638859602,0.815768593409346,0.212784164850166,0.831495315527904,0.991509873519017
"AAMP",6.70188764971175,0.222729850105679,0.728973220094896,0.305539139114993,0.75995556545346,0.990124243174288
"AAR2",8.79291714464259,0.978143292217485,0.633676357302051,1.54360073710504,0.122685086357713,0.887310683585693
"AARD",1.9068711458737,0.896680856519592,1.43487185491349,0.624920513597819,0.532023228062664,NA
"AARS1",17.6722865644488,-0.824024717153158,0.554244193470452,-1.48675390172958,0.137079820748143,0.900261772804784
"AARS2",7.20764279286924,0.575593668119736,0.793165290357327,0.725691952380351,0.468027636376581,0.975292990469682
"AARSD1",3.67215922626516,0.239633802622436,0.869678118147126,0.275543097638218,0.782899019609389,0.990124243174288
"AASDH",4.47415707566733,0.43493430750683,0.70521999045479,0.6167356475904,0.537409104319907,0.985152620529441
"AASDHPPT",14.7888120057428,-0.281960018699585,0.54173036310792,-0.520480367912136,0.602728807678047,0.988980376496145
"AASS",7.92200387568731,0.999198013262398,0.758783678202499,1.31684173232274,0.187891680996144,0.923324678791818
"AATF",18.9083879556088,-0.274183977164882,0.561272809278634,-0.488503937180339,0.625192937632845,0.988980376496145
"AATK",3.83946482698303,3.66137276521395,1.27751753529463,2.86600587785243,0.00415686527482013,0.388813681740839
"ABAT",30.7169557089963,0.507567850170955,0.610589176690785,0.831275544256818,0.40581798682736,0.973956463790797
"ABCA1",81.8456704963965,-0.851399969477269,0.588311201889105,-1.4471931976535,0.147842821191044,0.908347576726795
"ABCA10",5.16156630907277,1.91957866205839,0.964369678325643,1.99050084754967,0.0465357907217433,0.768189817751328
"ABCA11P",2.18603345503971,0.840189590646187,1.07822964855428,0.779230650699258,0.435843857766656,NA
"ABCA12",8.85640991395042,-0.826076231915556,0.850565615336553,-0.97120811965658,0.331444651331936,0.957319049344895
"ABCA13",410.043001383925,0.206498378744854,0.457649097637693,0.451215526941413,0.651834219982222,0.990124243174288
"ABCA2",13.2445296258634,0.248621587267375,0.749643862845181,0.331652934933346,0.740151343387259,0.990124243174288
"ABCA3",2.14685649715185,1.30203775264219,1.11208971048935,1.1708028051705,0.241678050011438,NA
"ABCA4",2.38238189962101,-0.463806473162868,1.35628008062996,-0.341969538435925,0.73237381656023,NA
"ABCA5",28.6608940737237,0.211161378089086,0.625863688039928,0.337391962697818,0.735821442676676,0.990124243174288
"ABCA6",13.0536657680036,0.423559717705336,0.88521654445794,0.478481474795189,0.63230755644219,0.989194933691431
"ABCA7",14.7236273594696,0.415126687748965,0.75358641879176,0.550868058920895,0.581724124812858,0.988628905025236
"ABCA8",3.31624869649845,0.352867195504477,1.22224400140559,0.288704379075435,0.772807611321111,0.990124243174288
"ABCA9",21.3470300509511,-0.238912156866547,0.755277697326039,-0.316323595562777,0.751756903275644,0.990124243174288
"ABCB1",3.05974463235686,0.873523006993693,1.18831308340253,0.735095000799377,0.462281638736073,0.974499258739265
"ABCB10",9.67849954599019,0.0838335232529873,0.742619489173162,0.112888935013446,0.910118608831622,0.995453364495464
"ABCB11",8.72046693561392,-0.1315133786236,0.693876968345234,-0.189534145998871,0.849674195432009,0.993071007440716
"ABCB5",6.05188768010268,1.00665179670281,0.958001275761889,1.05078335715391,0.293358101229235,0.949249476302391
"ABCB6",3.27140164382378,-0.397840573468092,0.911165551181476,-0.436628198851708,0.662381008745471,0.990124243174288
