"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"S100A8",97.2888598443328,3.91696584221987,0.7442117082592,5.26324135827172,1.41537572013196e-07,0.00113062534169192
"TRHDE",4.47131406319986,5.82215642945904,1.11433733359415,5.22477014270036,1.74371582617507e-07,0.00113062534169192
"AQP9",107.299746609221,4.07257398498678,0.868690983290272,4.68817342797944,2.75654370113141e-06,0.00815762900396586
"CST7",6.28875113907205,5.55446627928968,1.19993193626709,4.62898445437604,3.67463349667548e-06,0.00815762900396586
"TREML2",21.8050720315474,4.72594815457716,0.992738578164229,4.7605162713797,1.93098364748273e-06,0.00815762900396586
"ZNF366",6.73542766209336,4.05059622884594,0.876100832844883,4.62343611259084,3.77435024859617e-06,0.00815762900396586
"CCL4L2",12.2019627160048,4.12154662954004,0.991841019422328,4.15545087250024,3.24646699257959e-05,0.0355722392517605
"CD300A",7.42975993015254,4.70551249467722,1.12589292453313,4.1793605698592,2.92329882321934e-05,0.0355722392517605
"CDIP1",5.04319183362383,-3.59662191121494,0.84628934179167,-4.24987263055987,2.13892106325574e-05,0.0355722392517605
"FPR1",54.9998756307977,3.61284952267098,0.852727322111799,4.23681689209121,2.26710872179569e-05,0.0355722392517605
"GPR18",5.25653106517327,-4.06030529312519,0.986257158181036,-4.11688296449341,3.84030960460092e-05,0.0355722392517605
"RPL7P9",6.17467261265785,13.3452419459564,3.23963545246691,4.11936532420471,3.79917397772434e-05,0.0355722392517605
"SLC16A4",7.43344410928135,3.13872782584314,0.758637198243978,4.13732391861139,3.51379905656147e-05,0.0355722392517605
"TAGAP",60.5246282517565,3.60856549488131,0.868535530256687,4.15477014948926,3.25614700275867e-05,0.0355722392517605
"CLEC4E",23.4584484608554,3.57591528783319,0.887052566896879,4.03123267017037,5.5485082001077e-05,0.0479687028926645
"AL356432.3",4.67283167677489,8.10168059842188,2.0456733767227,3.96039792598822,7.48249721574287e-05,0.0570782493492668
"EPHB1",6.52971217814576,3.99753109062242,1.0080595649938,3.96557031889977,7.32206614984711e-05,0.0570782493492668
"IL1B",161.358703689422,3.14248618991209,0.797900328573511,3.9384445367133,8.20115460812516e-05,0.0590847627545373
"MTND2P28",1921.32587655035,-0.881578176003304,0.227700623425924,-3.87165464344941,0.000108099041025569,0.073780440211557
"ETS1",74.5791583155982,-2.06058224903219,0.535460538118636,-3.84824296533997,0.00011896803232661,0.0748888510441326
"HCAR3",66.266051498637,4.01120239771676,1.04973277165652,3.82116525845614,0.000132822607496534,0.0748888510441326
"MS4A6A",35.1497507119005,2.27891592353311,0.594804288213481,3.83137103866203,0.000127431162715281,0.0748888510441326
"STATH",73.1259449019694,2.63098301205684,0.684945519728624,3.84115661213354,0.000122455951665247,0.0748888510441326
"NFKBID",7.01919514597519,4.12543050556158,1.08409960106785,3.80539804783433,0.000141576322746369,0.0764984063906215
"C17orf49",5.69262697041238,2.777553872394,0.733624371904054,3.78607088145819,0.00015304803520305,0.0793890768205262
"RFTN1",10.6921573003087,-2.93487409694423,0.784754366076404,-3.7398633557376,0.000184120317987757,0.0918335493717398
"ANP32E",43.8758347195554,-1.59169656302886,0.428479382463225,-3.7147564811137,0.000203399475759294,0.0942030143445187
"ARRB2",37.6761465830298,2.15699614946317,0.579959754355527,3.71921695128673,0.000199841351164346,0.0942030143445187
"CSF3R",186.087717189028,2.89178101682818,0.782381790705724,3.69612515421625,0.00021891508587253,0.0978927873653437
"TREM1",110.649814749488,3.40809040292257,0.925321496349562,3.68314193106683,0.000230376804548581,0.0995842133795331
"MSL3",14.4004329132303,-2.16379884730745,0.588973157448247,-3.67384968218621,0.000238923322215204,0.0999470207253794
