"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",9.79390888868406,-0.643792334388599,0.981491869501501,-0.65593241716366,0.511867609255024,NA
"A1CF",2.35314626010979,-0.427129631830915,1.48808373804388,-0.287033330793861,0.774086799248468,NA
"A2M",50.4872246453924,-0.00314650811736623,0.621091525147762,-0.00506609411007122,0.995957859016474,NA
"A2ML1",5.58855122364948,0.182527841765842,1.09803007391936,0.166232097008344,0.867974301077289,NA
"A4GALT",6.29527053209726,-0.0222947452243334,0.896595173122859,-0.0248660107623381,0.980161838328736,NA
"AAAS",5.12680447790361,0.89015654785246,0.75406423724683,1.18047840473448,0.237809994498438,NA
"AACS",23.3788284687691,0.765588958023813,0.678918410329728,1.12765973992662,0.259463646589258,NA
"AADACL2",11.0415371151857,0.475424466734477,1.10273972141757,0.431130263561488,0.666373656671208,NA
"AADACP1",6.43844436496414,-0.30422102472216,0.857775429514273,-0.354662787315357,0.722842232313101,NA
"AADAT",4.37683223911763,-0.422529441083628,0.843316159320977,-0.501033255930779,0.616347718310827,NA
"AAGAB",25.805284397715,1.50814725089815,0.575790924197649,2.61926193609202,0.00881202553216127,NA
"AAK1",80.3914806995882,0.338125738905313,0.479180428629512,0.705633449747469,0.480416116936513,0.695062621795352
"AAMDC",4.35965348563161,0.0316863688928064,0.921851509492938,0.034372530246477,0.972580088211241,NA
"AAMP",6.7911156378055,0.197507231994735,0.833912476489388,0.236844078441184,0.81277775458324,NA
"AAR2",9.10072428199412,0.217404596667823,0.717194997417476,0.303131780688192,0.761789435383878,NA
"AARD",1.98087396073689,-1.62465539127317,1.55175998110303,-1.04697595701516,0.295110667261749,NA
"AARS1",18.0220358235359,0.650369775204416,0.620396434467638,1.04831320599465,0.294494327204433,NA
"AARS2",7.25085494572384,0.696284904001922,0.909148697311353,0.765864710647513,0.443756805494672,NA
"AARSD1",3.82695762272341,0.000502837334479469,0.96179168195507,0.000522813145417657,0.99958285548209,NA
"AASDH",4.58398461704068,0.973087026301467,0.773366262304121,1.25824861224526,0.208301859236841,NA
"AASDHPPT",16.9395549344591,0.21239611788246,0.622757234994116,0.341057648064847,0.733060183666729,NA
"AASS",7.87656032361752,1.05341017043301,0.851002161578493,1.23784664480649,0.215772929141443,NA
"AATF",19.6971764627795,-0.533723227369758,0.631244335203519,-0.845509729917308,0.397826302480162,NA
"AATK",4.06013003807223,0.517465570246194,1.44084948853793,0.359139226104235,0.71949093820692,NA
"ABAT",30.9039339455036,-0.0783520926248726,0.683293461419286,-0.114668289759609,0.908708049200356,NA
"ABCA1",89.0696825440361,-1.38955584729741,0.672259809140423,-2.06699229732944,0.0387348797720118,0.24289461753567
"ABCA10",5.17408889687491,0.671959530919281,1.01983632287451,0.658889584384775,0.509966674733472,NA
"ABCA11P",2.21914508576365,0.490048418304548,1.17160511379006,0.41827097930571,0.67574900523957,NA
"ABCA12",9.01590358683024,0.744418794784104,0.940521038662264,0.791496164554613,0.428654513425892,NA
"ABCA13",424.441745466259,1.08254110545789,0.524145577493873,2.06534434695395,0.0388904303357673,0.24289461753567
"ABCA2",13.4506002368038,0.162478405680288,0.868532305238248,0.187072380267673,0.851603883204116,NA
"ABCA3",2.15703913296168,0.818699240170759,1.19889087855173,0.68288053134557,0.494682336974836,NA
"ABCA4",2.31918037251663,1.0199538860804,1.48899952747005,0.684992753364673,0.493348493819276,NA
"ABCA5",29.2357516587785,0.217678569019247,0.696672736374672,0.312454553844029,0.754695096076066,NA
"ABCA6",13.231175170767,-0.0908330900887781,0.938386593099925,-0.0967970884885667,0.922887536127785,NA
"ABCA7",15.2936154023311,-0.0389775432808867,0.849106556224543,-0.0459041836329659,0.963386619637368,NA
"ABCA8",3.30592593125505,0.928481188063438,1.32185286412394,0.702408878675608,0.482424209844037,NA
"ABCA9",21.5634262883764,0.504983268908397,0.804485842633664,0.627709329545467,0.530194372539284,NA
"ABCB1",3.07625644313965,0.273686727138721,1.27314309926812,0.214969336358225,0.82979122569794,NA
"ABCB10",10.1126821789634,1.1092693167832,0.831495762345664,1.33406490690215,0.182182585601341,NA
"ABCB11",9.02385799351224,0.331519395533941,0.773653309389725,0.428511571669552,0.668278710603337,NA
"ABCB5",6.19149877313038,0.299915401643714,1.02810284463863,0.291717315254712,0.770502769128103,NA
"ABCB6",3.2832769663852,1.43826759507258,1.03415504321105,1.3907659248141,0.164296419186446,NA
"ABCB7",11.1838248603362,0.830625901029056,0.645374704682868,1.28704440227049,0.198078812205139,NA
"ABCB8",7.10048983529603,-0.40289854118894,0.927207478783067,-0.434529002848135,0.66390433848308,NA
"ABCB9",6.50482204943239,-0.318200813860896,0.951573251828696,-0.33439444966469,0.738081927125379,NA
"ABCC1",21.4527950319316,0.496856831671257,0.657787882537955,0.7553450661849,0.450041964973239,NA
"ABCC10",6.3673621200463,0.0203251928765655,1.00982173392262,0.0201275058693904,0.983941658076524,NA
"ABCC11",1.74500016265225,-1.38560911845144,1.3831511867729,-1.00177705206925,0.316451282831853,NA
"ABCC13",2.58322859016366,0.888799768127096,1.55619127516117,0.571137868662735,0.567906190622811,NA
"ABCC2",3.19414586413687,-3.63701327856273,1.61642456756369,-2.25003588261747,0.024446667598467,NA
"ABCC3",7.46753332056109,2.02762898894998,0.963465045755164,2.10451743722651,0.0353333351794467,NA
"ABCC4",5.0027978227019,-0.117845334926549,0.903965024867205,-0.130364927496903,0.896277713550823,NA
"ABCC5",24.1365543761328,0.711442159541107,0.647506923307161,1.09874062181049,0.271881218556638,NA
"ABCC6",18.3245250974176,1.71860578142354,0.88900105794725,1.93318755479537,0.0532130973091248,NA
"ABCC6P1",2.46450031270118,-0.248208984131667,1.47553498251185,-0.168216265336612,0.866413145389236,NA
"ABCC6P2",1.38931686721132,-0.107688400176997,1.35591148254745,-0.0794214088184243,0.936697440651832,NA
"ABCC9",134.563003782531,-0.175708745767958,0.721394098543485,-0.243568316018552,0.807565169493523,0.910508948027535
"ABCD1",6.8241228544543,-1.09380351467939,0.833626577657221,-1.31210249768351,0.189485553372419,NA
"ABCD2",7.0764126778748,1.04158177549377,0.811157056935718,1.28406917820393,0.199117751319598,NA
"ABCD3",32.3116911648055,1.07260860643487,0.543058263899356,1.97512620235839,0.0482538279951503,NA
"ABCD4",8.2040520588619,0.674043610464188,0.843356547901673,0.799239197396704,0.424151727470008,NA
"ABCE1",22.4549190822277,1.49290658953502,0.596097038886907,2.50446905812974,0.0122635331397917,NA
"ABCF1",30.8262267695872,-0.72360880637533,0.543115092067119,-1.33233050774053,0.182751606412968,NA
"ABCF2",13.5482464359221,0.14004237121033,0.598409746209966,0.234024215175789,0.814966179594123,NA
"ABCF3",10.4939761646762,-0.908612646129124,0.844899534803751,-1.07540909741437,0.282191610552104,NA
"ABCG1",12.9944737857084,0.00519752203559566,0.775007963290064,0.00670641113612709,0.994649098206433,NA
"ABCG8",4.0891281714184,0.426641815315467,0.982883217764387,0.434071726533172,0.664236356114107,NA
"ABHD1",2.51267034934762,-0.37751209950731,1.19542206105534,-0.315798170207796,0.752155707061307,NA
"ABHD10",15.5665686907225,1.09891338895921,0.611428988542152,1.79728702687026,0.0722900646826472,NA
"ABHD11",12.9347902185229,0.545427093496038,0.636196315909563,0.857325136685595,0.39126522025623,NA
"ABHD11-AS1",0.44422036738262,-3.2058228303594,2.66845683699272,-1.20137706029837,0.229604970436176,NA
"ABHD12",4.78649499267608,-0.178547660999403,0.787019650306408,-0.226865569277577,0.820528275752077,NA
"ABHD12B",18.8837796828694,0.355934274265891,0.706428866419779,0.503850127288521,0.61436669923925,NA
"ABHD13",7.9846573070786,1.05161197437177,0.758424143916146,1.3865750224429,0.165571389071055,NA
"ABHD14A",2.95042791426243,0.864735205698313,1.05534922874076,0.819382989202652,0.412567937167441,NA
"ABHD14B",7.57318397227377,1.24006639174741,0.729708236984129,1.69940029301654,0.0892437868086783,NA
"ABHD15",4.33933110707561,1.20649563361133,0.919397763002134,1.31226731471667,0.189429956330172,NA
"ABHD16A",5.19845913406296,0.028149440870035,0.945198956013253,0.0297814980549347,0.976241314634959,NA
"ABHD16B",2.33562275047905,-0.0238195081535237,1.29276303250291,-0.0184252701807283,0.985299593173824,NA
"ABHD17A",10.6992013602289,2.19653946119699,0.770420486477858,2.85109170868358,0.00435694011524604,NA
"ABHD17B",13.9574655252379,1.87050931538424,0.625767893816667,2.98914235432514,0.0027976175542193,NA
"ABHD17C",12.0615334582145,0.755973916588137,0.63653597943784,1.18763737009144,0.234976308229077,NA
"ABHD18",12.1444780789424,-0.291982479056185,0.687481001097684,-0.424713524577383,0.67104552337591,NA
"ABHD2",71.2585436743652,0.72973663173558,0.506898417579531,1.43961118525505,0.149977433307318,0.402967841818616
"ABHD3",6.7640118094116,0.453161664723369,0.95078659648469,0.47661764101306,0.633634419144275,NA
"ABHD4",18.0390666817709,0.14296390655773,0.613813426053002,0.232911012515691,0.815830506840455,NA
"ABHD5",7.93730505623748,0.029189780529585,0.992732075644765,0.0294034828184902,0.976542795119603,NA
"ABHD6",5.52929941002225,0.571081477927287,0.873654159463029,0.653669958234147,0.51332446202435,NA
"ABHD8",1.78162061266628,2.7836479342898,1.17825231833369,2.36252277290358,0.0181510262219747,NA
"ABI1",94.6445837959374,0.185492084190331,0.474330623732072,0.39106073888054,0.69575234023531,0.844630291982167
"ABI2",67.564346328782,0.996412574977933,0.495954258152123,2.00908160097358,0.0445284805513551,0.250638160397366
"ABI3",9.81986223591824,-0.619007265235153,0.803568145043995,-0.770323299962646,0.441108138410957,NA
"ABI3BP",6.08627396554128,-0.114014961315472,1.05936663172914,-0.107625592406448,0.914292695100269,NA
"ABITRAM",26.6012810837376,0.373564391985748,0.527064706474362,0.708763814759279,0.478471056390828,NA
"ABL1",16.1567833797451,0.163483587498044,0.619968273400898,0.26369669951212,0.792013638955338,NA
"ABL2",42.7501752005726,0.697662699900974,0.542408038633052,1.28623222778775,0.198362026768791,NA
"ABLIM1",188.263851762559,0.592766998981864,0.416201832064276,1.42422967251696,0.154379998024176,0.407105772567456
"ABLIM3",7.74578495974354,0.563777509370586,0.944764919765562,0.596738402935711,0.550682048710798,NA
"ABO",45.1675851149167,-0.603464082873663,0.562210130195053,-1.07337817385876,0.283101473292866,NA
"ABR",47.1359153332489,0.246101266763329,0.502342648766749,0.489907172658956,0.624199587251771,NA
