"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTRNR2L12",409286.937120432,-0.607438704951572,0.112415783732143,-5.40350015616077,6.53528987821775e-08,9.30625278658208e-05
"CXCL10",197.054056733712,-4.47681870661666,0.850370982381075,-5.26454782603398,1.40534813117481e-07,0.000100060786939646
"GBP5",212.874118517234,-3.26885917512638,0.649180175415451,-5.03536506338079,4.76939002418082e-07,0.000226387046481116
"IFIT3",451.254159050109,-2.9249488017979,0.589310955552644,-4.96333688392903,6.92922383879997e-07,0.000246680368661279
"IFIT2",585.751666346044,-3.16328335900521,0.644241411416016,-4.91009007330411,9.10345682788552e-07,0.00025926645045818
"MX2",266.412530665924,-2.74911940755284,0.573882794186105,-4.79038478832896,1.66461781624241e-06,0.000395069295054865
"CXCL9",110.704717548056,-3.73494030193533,0.815569964218541,-4.57954616501119,4.65985931604381e-06,0.000947948523720913
"EPSTI1",85.6303236083978,-2.65633396695978,0.584337072168768,-4.54589327543568,5.47027513504428e-06,0.000973708974037881
"IFIT1",465.022146166894,-2.65765427818891,0.597729141169813,-4.44625181396984,8.73815134794396e-06,0.0013825697243858
"RSAD2",284.821628740537,-2.79119632560492,0.642047230174527,-4.34733800634291,1.37799776150561e-05,0.00196226881238399
"OASL",62.8416159759122,-3.17321817709162,0.742582266720739,-4.27322105482619,1.92669275464758e-05,0.00249419134783469
"DDX60L",280.042934805943,-2.7322782044119,0.65372948553361,-4.17952419903727,2.92119635438931e-05,0.00346648634054198
"GBP1",319.310530238729,-2.2120701660362,0.559621692461961,-3.95279560430291,7.72434151001244e-05,0.00819312399351716
"IFI44L",371.501756843227,-2.20439621492262,0.559100246173281,-3.94275665233639,8.05503763407586e-05,0.00819312399351716
"RPS8",149.587954762892,2.01131403064163,0.518061356947691,3.88238575154857,0.000103436618042761,0.00981958293952606
"YLPM1",76.1889313414973,1.72707429921031,0.447589289276598,3.85861400303309,0.000114031873154753,0.010148836710773
"OAS3",487.870890148328,-2.06896965457426,0.539515680099841,-3.83486473310911,0.000125633415590269,0.0105236461059143
"RPLP0",220.38055236137,1.7975410323135,0.473976338083186,3.79246997768488,0.000149156287685829,0.0113899424171544
"SP110",105.47443143395,-2.41720087009615,0.638150289852992,-3.78782382227389,0.000151972546296302,0.0113899424171544
"CXCL11",68.6788179474098,-3.97901137600524,1.07809634619314,-3.69077530969799,0.000223571563052544,0.0158224239288509
"RACK1",266.846859750536,1.67767292712743,0.455903243427574,3.67988811510606,0.000233336307939515,0.0158224239288509
"EEF1A1",2900.76939122302,1.44338526106724,0.393516311890056,3.66791723101558,0.000244534311363905,0.0158280390628273
"HERC5",61.0486119294933,-2.62453767775466,0.722036702798565,-3.63490895626515,0.000278078821041307,0.0160272698807378
"LCP2",179.645563340907,-2.44664320811379,0.67331403615957,-3.6337326666601,0.000279350306452118,0.0160272698807378
"WDR78",81.2796317634328,1.87288995808331,0.51568235254589,3.63186746421896,0.000281377631333177,0.0160272698807378
"CBX5",100.629192438277,1.80186132137376,0.500696133650356,3.5987122733247,0.000319796763254251,0.017218783411171
"RPS3A",211.908744187447,1.77861661004142,0.494977368773776,3.59332915451801,0.000326479741644393,0.017218783411171
"DIAPH2",65.930350761862,1.71765279139781,0.490028680843331,3.50520869195199,0.000456249493706048,0.0224034234150832
"ZNF91",135.873018821832,1.56361833585718,0.445116117589182,3.51283243645722,0.000443356986349609,0.0224034234150832
"DDX58",166.998429767257,-2.05481874790816,0.591433183239223,-3.4743041245236,0.000512180159146481,0.0235272434395029
"RPL4",224.421703015525,1.58760431840193,0.456345680088896,3.47895112777809,0.00050338037997462,0.0235272434395029
"RPS17",94.8329540426178,1.85812694401902,0.544419854510306,3.41304037430884,0.000642424238389293,0.0285878786083235
"RPL13A",260.607482803568,1.67644226710444,0.501500075689292,3.34285546178679,0.000829210782423543,0.0353149075813497
"RPL15",236.759131158001,1.41603089177881,0.424188388604274,3.33821228920961,0.000843193018094025,0.0353149075813497
"IFITM1",158.814973604462,-1.98120085975412,0.599373690206373,-3.30545182767693,0.000948234026292087,0.0385795786697124
"MX1",340.045880161013,-1.72866432454499,0.525239448069933,-3.29119286621979,0.000997634896780835,0.0394620025837752
"SH3BGRL",79.0041496602105,1.50744920530394,0.461622396638924,3.26554607462656,0.00109253229996476,0.0418939406401846
"TNFSF10",161.054895299946,-1.6866575658605,0.517534329815893,-3.25902547655246,0.00111795628112852,0.0418939406401846
"IFI44",103.014618771427,-1.90583256398322,0.586636150026345,-3.24874722414844,0.001159144331897,0.0423236289390084
"TRIM38",134.198810039762,-1.81459984026973,0.561104963333829,-3.23397574223583,0.00122079824148927,0.0434604173970181
"RPL13",165.908694491595,1.63045836263931,0.508939726856608,3.20363743799212,0.00135703251728562,0.0460098643955887
"SERBP1",90.5600763843711,1.40665080693277,0.438876670318233,3.20511638477569,0.00135007877983566,0.0460098643955887
"NABP1",216.752922624646,-2.41549440465119,0.758611268908778,-3.1841003471063,0.00145204666022183,0.04808638242223
